iter	Passed	Remaining
643	2965	1639
644	2969	1634
645	2974	1630
646	2979	1625
647	2982	1620
648	2986	1614
649	2991	1610
650	2994	1605
651	2998	1600
652	3002	1595
653	3008	1591
654	3012	1586
655	3015	1581
656	3019	1576
657	3023	1571
658	3027	1566
659	3030	1561
660	3034	1556
661	3039	1551
662	3042	1546
663	3046	1541
664	3049	1536
665	3054	1531
666	3058	1526
667	3061	1521
668	3065	1516
669	3069	1511
670	3073	1506
671	3076	1501
672	3080	1496
673	3085	1492
674	3090	1488
675	3094	1483
676	3097	1477
677	3102	1473
678	3107	1468
679	3110	1463
680	3114	1458
681	3119	1454
682	3123	1449
683	3127	1445
684	3131	1439
685	3137	1436
686	3141	1431
687	3144	1426
688	3149	1421
689	3153	1416
690	3157	1411
691	3161	1407
692	3166	1402
693	3170	1397
694	3174	1393
695	3177	1388
696	3182	1383
697	3186	1378
698	3190	1373
699	3194	1368
700	3198	1364
701	3202	1359
702	3206	1354
703	3209	1349
704	3214	1345
705	3218	1340
706	3222	1335
707	3226	1330
708	3230	1325
709	3234	1321
710	3238	1316
711	3241	1311
712	3246	1306
713	3250	1301
714	3255	1297
715	3258	1292
716	3262	1287
717	3266	1282
718	3269	1277
719	3273	1272
720	3276	1267
721	3280	1263
722	3284	1258
723	3287	1253
724	3291	1248
725	3295	1243
726	3299	1238
727	3302	1233
728	3306	1228
729	3310	1224
730	3313	1219
731	3317	1214
732	3320	1209
733	3324	1204
734	3328	1200
735	3332	1195
736	3335	1190
737	3339	1185
738	3344	1181
739	3347	1176
740	3351	1171
741	3354	1166
742	3359	1161
743	3362	1157
744	3366	1152
745	3369	1147
746	3372	1142
747	3377	1137
748	3381	1133
749	3384	1128
750	3387	1123
751	3393	1119
752	3397	1114
753	3400	1109
754	3403	1104
755	3409	1100
756	3412	1095
757	3415	1090
758	3419	1085
759	3424	1081
760	3427	1076
761	3431	1071
762	3434	1066
763	3439	1062
764	3442	1057
765	3446	1052
766	3449	1047
767	3453	1043
768	3457	1038
769	3461	1034
770	3468	1030
771	3475	1026
772	3480	1021
773	3485	1017
774	3491	1013
775	3495	1008
776	3498	1004
777	3502	999
778	3507	995
779	3511	990
780	3515	985
781	3520	981
782	3524	976
783	3528	972
784	3532	967
785	3538	963
786	3542	958
787	3546	954
788	3549	949
789	3555	945
790	3558	940
791	3562	935
792	3565	930
793	3571	926
794	3575	921
795	3579	917
796	3585	913
797	3589	908
798	3593	903
799	3596	899
800	3601	894
801	3604	889
802	3608	885
803	3611	880
804	3616	875
805	3619	871
806	3622	866
807	3626	861
808	3629	856
809	3634	852
810	3637	847
811	3641	843
812	3644	838
813	3650	834
814	3654	829
815	3658	824
816	3661	820
817	3666	815
818	3669	811
819	3673	806
820	3676	801
821	3682	797
822	3685	792
823	3689	788
824	3692	783
825	3697	778
826	3700	774
827	3704	769
828	3707	764
829	3711	760
830	3715	755
831	3718	750
832	3722	746
833	3729	742
834	3732	737
835	3736	732
836	3740	728
837	3743	723
838	3747	719
839	3751	714
840	3754	709
841	3758	705
842	3762	700
843	3765	696
844	3769	691
845	3772	686
846	3777	682
847	3780	677
848	3784	673
849	3788	668
850	3791	663
851	3795	659
852	3799	654
853	3802	650
854	3806	645
855	3811	641
856	3814	636
857	3818	631
858	3821	627
859	3826	622
860	3830	618
861	3833	613
862	3837	609
863	3841	604
864	3845	600
865	3850	595
866	3854	591
867	3861	587
868	3866	582
869	3870	578
870	3875	574
871	3879	569
872	3882	564
873	3886	560
874	3891	555
875	3895	551
876	3898	546
877	3902	542
878	3908	538
879	3912	533
880	3915	528
881	3919	524
882	3925	520
883	3929	515
884	3932	510
885	3935	506
886	3942	502
887	3947	497
888	3951	493
889	3959	489
890	3964	484
891	3967	480
892	3974	476
893	3978	471
894	3982	467
895	3986	462
896	3991	458
897	3994	453
898	3998	449
899	4002	444
900	4006	440
901	4010	435
902	4013	431
903	4017	426
904	4021	422
905	4025	417
906	4028	413
907	4032	408
908	4037	404
909	4041	399
910	4045	395
911	4049	390
912	4053	386
913	4057	381
914	4060	377
915	4064	372
916	4068	368
917	4072	363
918	4075	359
919	4079	354
920	4084	350
921	4087	345
922	4090	341
923	4094	336
924	4098	332
925	4102	327
926	4105	323
927	4108	318
928	4112	314
929	4117	309
930	4121	305
931	4125	301
932	4129	296
933	4134	292
934	4139	287
935	4143	283
936	4165	280
937	4169	275
938	4173	271
939	4179	266
940	4183	262
941	4188	257
942	4193	253
943	4199	249
944	4202	244
945	4206	240
946	4209	235
947	4214	231
948	4218	226
949	4222	222
950	4225	217
951	4230	213
952	4234	208
953	4238	204
954	4241	199
955	4246	195
956	4249	190
957	4253	186
958	4257	182
959	4262	177
960	4266	173
961	4269	168
962	4273	164
963	4278	159
964	4282	155
965	4285	150
966	4289	146
967	4294	141
968	4299	137
969	4303	133
970	4307	128
971	4312	124
972	4316	119
973	4320	115
974	4323	110
975	4329	106
976	4333	102
977	4336	97
978	4342	93
979	4346	88
980	4349	84
981	4353	79
982	4359	75
983	4364	70
984	4367	66
985	4371	62
986	4377	57
987	4381	53
988	4384	48
989	4388	44
990	4394	39
991	4397	35
992	4401	31
993	4408	26
994	4412	22
995	4416	17
996	4419	13
997	4424	8
998	4428	4
999	4431	0
