iter	Passed	Remaining
748	3325	1114
749	3328	1109
750	3335	1105
751	3338	1101
752	3341	1096
753	3345	1091
754	3350	1087
755	3353	1082
756	3357	1077
757	3360	1072
758	3364	1068
759	3368	1063
760	3371	1058
761	3374	1054
762	3379	1049
763	3383	1045
764	3387	1040
765	3390	1035
766	3394	1031
767	3398	1026
768	3401	1021
769	3405	1017
770	3408	1012
771	3413	1008
772	3417	1003
773	3420	998
774	3424	994
775	3431	990
776	3434	985
777	3438	981
778	3441	976
779	3447	972
780	3450	967
781	3453	962
782	3456	957
783	3463	954
784	3466	949
785	3470	944
786	3473	940
787	3479	936
788	3482	931
789	3486	926
790	3489	922
791	3494	917
792	3497	912
793	3500	908
794	3504	903
795	3509	899
796	3512	894
797	3515	889
798	3519	885
799	3523	880
800	3528	876
801	3531	871
802	3534	867
803	3539	862
804	3544	858
805	3547	853
806	3550	849
807	3556	845
808	3560	840
809	3564	836
810	3567	831
811	3573	827
812	3578	823
813	3581	818
814	3584	813
815	3589	809
816	3592	804
817	3595	800
818	3599	795
819	3603	790
820	3606	786
821	3610	781
822	3613	777
823	3616	772
824	3622	768
825	3626	763
826	3629	759
827	3632	754
828	3638	750
829	3642	745
830	3645	741
831	3648	736
832	3654	732
833	3658	728
834	3661	723
835	3664	718
836	3670	714
837	3674	710
838	3677	705
839	3681	701
840	3686	696
841	3689	692
842	3693	687
843	3696	683
844	3700	678
845	3704	674
846	3707	669
847	3711	665
848	3716	661
849	3721	656
850	3724	652
851	3727	647
852	3732	643
853	3735	638
854	3738	634
855	3741	629
856	3745	624
857	3750	620
858	3755	616
859	3758	611
860	3761	607
861	3767	603
862	3770	598
863	3774	594
864	3777	589
865	3782	585
866	3786	580
867	3789	576
868	3792	571
869	3797	567
870	3802	563
871	3805	558
872	3808	554
873	3814	549
874	3818	545
875	3821	540
876	3825	536
877	3830	532
878	3833	527
879	3837	523
880	3840	518
881	3845	514
882	3849	510
883	3853	505
884	3856	501
885	3861	496
886	3865	492
887	3868	487
888	3872	483
889	3876	479
890	3880	474
891	3883	470
892	3886	465
893	3889	461
894	3894	456
895	3898	452
896	3901	447
897	3904	443
898	3908	439
899	3914	434
900	3917	430
901	3920	425
902	3924	421
903	3928	417
904	3931	412
905	3936	408
906	3939	403
907	3944	399
908	3948	395
909	3952	390
910	3955	386
911	3960	382
912	3963	377
913	3967	373
914	3970	368
915	3975	364
916	3978	360
917	3981	355
918	3984	351
919	3989	346
920	3993	342
921	3996	338
922	4000	333
923	4003	329
924	4009	325
925	4013	320
926	4016	316
927	4020	311
928	4024	307
929	4027	303
930	4031	298
931	4034	294
932	4039	290
933	4042	285
934	4046	281
935	4049	276
936	4055	272
937	4060	268
938	4063	263
939	4066	259
940	4072	255
941	4076	250
942	4079	246
943	4082	242
944	4088	237
945	4091	233
946	4094	229
947	4097	224
948	4103	220
949	4107	216
950	4110	211
951	4113	207
952	4118	203
953	4122	198
954	4125	194
955	4128	190
956	4132	185
957	4136	181
958	4140	177
959	4143	172
960	4146	168
961	4153	164
962	4157	159
963	4161	155
964	4167	151
965	4171	146
966	4174	142
967	4177	138
968	4182	133
969	4186	129
970	4189	125
971	4194	120
972	4199	116
973	4203	112
974	4206	107
975	4209	103
976	4213	99
977	4217	94
978	4221	90
979	4224	86
980	4227	81
981	4232	77
982	4235	73
983	4239	68
984	4242	64
985	4248	60
986	4252	56
987	4255	51
988	4258	47
989	4263	43
990	4267	38
991	4271	34
992	4274	30
993	4280	25
994	4284	21
995	4287	17
996	4290	12
997	4296	8
998	4301	4
999	4304	0
